a bit,amplifier
a little,amplifier
a little bit,diminisher
a lot,amplifier
absolutely,amplifier
almost,diminisher
altogether,amplifier
amazingly,amplifier
at all,amplifier
awfully,amplifier
badly,amplifier
barely,amplifier
bloody,amplifier
by no means,amplifier
completely,amplifier
considerably,amplifier
damn,amplifier
dead,amplifier
deeply,amplifier
downright,amplifier
dreadfully,amplifier
easily,amplifier
enormously,amplifier
enough,amplifier
entirely,amplifier
extensively,amplifier
extra,amplifier
extraordinarily,amplifier
extremely,amplifier
fairly,amplifier
fantastically,amplifier
far,amplifier
fully,amplifier
good and,amplifier
greatly,amplifier
hardly,diminisher
highly,amplifier
hugely,amplifier
immensely,amplifier
in no way,amplifier
incredibly,amplifier
indeed,amplifier
infinitely,amplifier
intensely,amplifier
jolly,amplifier
just,amplifier
largely,amplifier
largely,amplifier
little,amplifier
mighty,amplifier
moderately,amplifier
more,amplifier
most,amplifier
nearly,amplifier
not so,amplifier
noticeably,amplifier
outright,amplifier
partially,amplifier
partly,amplifier
perfectly,amplifier
plain,amplifier
positively,amplifier
practically,amplifier
pretty,amplifier
profoundly,amplifier
purely,amplifier
quite,amplifier
rather,amplifier
real,amplifier
really,amplifier
reasonably,amplifier
relatively,amplifier
remarkably,amplifier
scarcely,amplifier
sharply,amplifier
simply,amplifier
slightly,diminisher
so,amplifier
somewhat,amplifier
strikingly,amplifier
strongly,amplifier
sufficiently,amplifier
supremely,amplifier
surprisingly,amplifier
suspiciously,amplifier
terribly,amplifier
thoroughly,amplifier
to some extent,amplifier
too,amplifier
totally,amplifier
tremendously,amplifier
truly,amplifier
unbelievably,amplifier
unusually,amplifier
utterly,amplifier
very,amplifier
very much,amplifier
virtually,amplifier
way,amplifier
well,amplifier
wholly,amplifier
wonderfully,amplifier